Path,Year,Season,Product Type,Section
images_dataset/image_0_0.jpg,2024,V,0,3
images_dataset/image_0_1.jpg,2024,V,0,3
images_dataset/image_0_2.jpg,2024,V,0,3
images_dataset/image_1_0.jpg,2024,V,0,3
images_dataset/image_1_1.jpg,2024,V,0,3
images_dataset/image_1_2.jpg,2024,V,0,3
images_dataset/image_2_0.jpg,2024,V,0,1
images_dataset/image_2_1.jpg,2024,V,0,1
images_dataset/image_2_2.jpg,2024,V,0,1
images_dataset/image_3_0.jpg,2024,V,0,2
images_dataset/image_3_1.jpg,2024,V,0,2
images_dataset/image_3_2.jpg,2024,V,0,2
images_dataset/image_4_0.jpg,2024,V,0,2
images_dataset/image_4_1.jpg,2024,V,0,2
images_dataset/image_4_2.jpg,2024,V,0,2
images_dataset/image_5_0.jpg,2024,V,0,2
images_dataset/image_5_1.jpg,2024,V,0,2
images_dataset/image_5_2.jpg,2024,V,0,2
images_dataset/image_6_0.jpg,2023,I,0,3
images_dataset/image_6_1.jpg,2023,I,0,3
images_dataset/image_6_2.jpg,2023,I,0,3
images_dataset/image_7_0.jpg,2024,V,4,1
images_dataset/image_7_1.jpg,2024,V,4,1
images_dataset/image_8_0.jpg,2024,V,0,1
images_dataset/image_8_1.jpg,2024,V,0,1
images_dataset/image_8_2.jpg,2024,V,0,1
images_dataset/image_9_0.jpg,2024,V,4,1
images_dataset/image_9_1.jpg,2024,V,4,1
images_dataset/image_10_0.jpg,2024,V,0,3
images_dataset/image_10_1.jpg,2024,V,0,3
images_dataset/image_10_2.jpg,2024,V,0,3
images_dataset/image_11_0.jpg,2024,V,0,1
images_dataset/image_11_1.jpg,2024,V,0,1
images_dataset/image_11_2.jpg,2024,V,0,1
images_dataset/image_12_0.jpg,2023,I,1,3
images_dataset/image_12_1.jpg,2023,I,1,3
images_dataset/image_12_2.jpg,2023,I,1,3
images_dataset/image_13_0.jpg,2024,V,1,3
images_dataset/image_13_1.jpg,2024,V,1,3
images_dataset/image_13_2.jpg,2024,V,1,3
images_dataset/image_14_0.jpg,2024,V,4,1
images_dataset/image_14_1.jpg,2024,V,4,1
images_dataset/image_15_0.jpg,2023,I,0,3
images_dataset/image_15_1.jpg,2023,I,0,3
images_dataset/image_15_2.jpg,2023,I,0,3
images_dataset/image_16_0.jpg,2024,V,0,3
images_dataset/image_16_1.jpg,2024,V,0,3
images_dataset/image_16_2.jpg,2024,V,0,3
images_dataset/image_17_0.jpg,2023,V,0,3
images_dataset/image_17_1.jpg,2023,V,0,3
images_dataset/image_17_2.jpg,2023,V,0,3
images_dataset/image_18_0.jpg,2024,V,0,1
images_dataset/image_18_1.jpg,2024,V,0,1
images_dataset/image_19_0.jpg,2024,V,0,1
images_dataset/image_19_1.jpg,2024,V,0,1
images_dataset/image_19_2.jpg,2024,V,0,1
images_dataset/image_20_0.jpg,2024,V,4,1
images_dataset/image_20_1.jpg,2024,V,4,1
images_dataset/image_21_0.jpg,2024,V,0,2
images_dataset/image_21_1.jpg,2024,V,0,2
images_dataset/image_21_2.jpg,2024,V,0,2
images_dataset/image_22_0.jpg,2024,V,0,1
images_dataset/image_22_1.jpg,2024,V,0,1
images_dataset/image_22_2.jpg,2024,V,0,1
images_dataset/image_23_0.jpg,2024,V,0,2
images_dataset/image_23_1.jpg,2024,V,0,2
images_dataset/image_23_2.jpg,2024,V,0,2
images_dataset/image_24_0.jpg,2024,V,0,3
images_dataset/image_24_1.jpg,2024,V,0,3
images_dataset/image_24_2.jpg,2024,V,0,3
images_dataset/image_25_0.jpg,2024,V,0,1
images_dataset/image_25_1.jpg,2024,V,0,1
